DATE,TAVG
3/30/15,41
3/31/15,43
4/1/15,38
4/2/15,42
4/3/15,64
4/4/15,65
4/5/15,43
4/6/15,34
4/7/15,64
4/8/15,46
4/9/15,40
4/10/15,46
4/11/15,57
4/12/15,43
4/13/15,66
4/14/15,76
4/15/15,60
4/16/15,59
4/17/15,69
4/18/15,61
4/19/15,71
4/20/15,68
4/21/15,60
4/22/15,60
4/23/15,51
4/24/15,38
4/25/15,37
4/26/15,51
4/27/15,51
4/28/15,49
4/29/15,62
4/30/15,67
5/1/15,70
5/2/15,70
5/3/15,70
5/4/15,76
5/5/15,81
5/6/15,72
5/7/15,70
5/8/15,79
5/9/15,87
5/10/15,83
5/11/15,86
5/12/15,85
5/13/15,75
5/14/15,53
5/15/15,66
5/16/15,74
5/17/15,76
5/18/15,80
5/19/15,83
5/20/15,83
5/21/15,54
5/22/15,61
5/23/15,62
5/24/15,65
5/25/15,77
5/26/15,85
5/27/15,81
5/28/15,80
5/29/15,74
5/30/15,81
5/31/15,83
6/1/15,60
6/2/15,57
6/3/15,62
6/4/15,74
6/5/15,73
6/6/15,80
6/7/15,73
6/8/15,76
6/9/15,76
6/10/15,72
6/11/15,79
6/12/15,82
6/13/15,86
6/14/15,79
6/15/15,82
6/16/15,82
6/17/15,78
6/18/15,75
6/19/15,70
6/20/15,74
6/21/15,73
6/22/15,80
6/23/15,82
6/24/15,82
6/25/15,74
6/26/15,75
6/27/15,76
6/28/15,65
6/29/15,66
6/30/15,72
7/1/15,73
7/2/15,74
7/3/15,73
7/4/15,76
7/5/15,70
7/6/15,78
7/7/15,79
7/8/15,83
7/9/15,71
7/10/15,72
7/11/15,77
7/12/15,80
7/13/15,82
7/14/15,83
7/15/15,77
7/16/15,67
7/17/15,76
7/18/15,76
7/19/15,85
7/20/15,87
7/21/15,82
7/22/15,79
7/23/15,74
7/24/15,75
7/25/15,78
7/26/15,84
7/27/15,84
7/28/15,86
7/29/15,88
7/30/15,88
7/31/15,82
8/1/15,82
8/2/15,77
8/3/15,82
8/4/15,81
8/5/15,77
8/6/15,74
8/7/15,73
8/8/15,79
8/9/15,77
8/10/15,82
8/11/15,75
8/12/15,77
8/13/15,74
8/14/15,76
8/15/15,84
8/16/15,84
8/17/15,87
8/18/15,88
8/19/15,89
8/20/15,84
8/21/15,83
8/22/15,75
8/23/15,74
8/24/15,78
8/25/15,79
8/26/15,77
8/27/15,70
8/28/15,69
8/29/15,72
8/30/15,80
8/31/15,82
9/1/15,84
9/2/15,85
9/3/15,84
9/4/15,86
9/5/15,87
9/6/15,84
9/7/15,86
9/8/15,91
9/9/15,92
9/10/15,89
9/11/15,67
9/12/15,79
9/13/15,70
9/14/15,63
9/15/15,71
9/16/15,81
9/17/15,85
9/18/15,84
9/19/15,84
9/20/15,81
9/21/15,67
9/22/15,63
9/23/15,72
9/24/15,77
9/25/15,79
9/26/15,75
9/27/15,72
9/28/15,75
9/29/15,75
9/30/15,70
10/1/15,70
10/2/15,70
10/3/15,51
10/4/15,50
10/5/15,66
10/6/15,66
10/7/15,60
10/8/15,67
10/9/15,69
10/10/15,63
10/11/15,59
10/12/15,71
10/13/15,75
10/14/15,66
10/15/15,55
10/16/15,62
10/17/15,57
10/18/15,44
10/19/15,41
10/20/15,52
10/21/15,69
10/22/15,68
10/23/15,67
10/24/15,52
10/25/15,51
10/26/15,53
10/27/15,52
10/28/15,57
10/29/15,62
10/30/15,62
10/31/15,49
11/1/15,49
11/2/15,64
11/3/15,61
11/4/15,72
11/5/15,75
11/6/15,73
11/7/15,70
11/8/15,50
11/9/15,51
11/10/15,57
11/11/15,58
11/12/15,56
11/13/15,54
11/14/15,49
11/15/15,39
11/16/15,60
11/17/15,60
11/18/15,52
11/19/15,57
11/20/15,60
11/21/15,48
11/22/15,48
11/23/15,44
11/24/15,34
11/25/15,38
11/26/15,48
11/27/15,54
11/28/15,61
11/29/15,40
11/30/15,38
12/1/15,43
12/2/15,47
12/3/15,50
12/4/15,43
12/5/15,43
12/6/15,44
12/7/15,43
12/8/15,45
12/9/15,41
12/10/15,50
12/11/15,53
12/12/15,55
12/13/15,49
12/14/15,61
12/15/15,64
12/16/15,49
12/17/15,46
12/18/15,50
12/19/15,37
12/20/15,32
12/21/15,37
12/22/15,47
12/23/15,54
12/24/15,61
12/25/15,65
12/26/15,54
12/27/15,48
12/28/15,52
12/29/15,34
12/30/15,38
12/31/15,45
1/1/16,37
1/2/16,35
1/3/16,31
1/4/16,34
1/5/16,13
1/6/16,26
1/7/16,38
1/8/16,39
1/9/16,39
1/10/16,46
1/11/16,52
1/12/16,25
1/13/16,28
1/14/16,22
1/15/16,27
1/16/16,42
1/17/16,40
1/18/16,30
1/19/16,20
1/20/16,24
1/21/16,26
1/22/16,27
1/23/16,23
1/24/16,25
1/25/16,28
1/26/16,35
1/27/16,49
1/28/16,36
1/29/16,36
1/30/16,32
1/31/16,43
2/1/16,56
2/2/16,48
2/3/16,45
2/4/16,53
2/5/16,43
2/6/16,33
2/7/16,42
2/8/16,46
2/9/16,41
2/10/16,35
2/11/16,31
2/12/16,15
2/13/16,21
2/14/16,8
2/15/16,11
2/16/16,41
2/17/16,50
2/18/16,32
2/19/16,24
2/20/16,38
2/21/16,59
2/22/16,42
2/23/16,37
2/24/16,40
2/25/16,52
2/26/16,46
2/27/16,25
2/28/16,38
2/29/16,60
3/1/16,50
3/2/16,50
3/3/16,34
3/4/16,28
3/5/16,33
3/6/16,34
3/7/16,42
3/8/16,59
3/9/16,63
3/10/16,76
3/11/16,59
3/12/16,43
3/13/16,64
3/14/16,57
3/15/16,45
3/16/16,53
3/17/16,65
3/18/16,58
3/19/16,41
3/20/16,39
3/21/16,42
3/22/16,40
3/23/16,52
3/24/16,54
3/25/16,68
3/26/16,59
3/27/16,56
3/28/16,58
3/29/16,58
3/30/16,42
3/31/16,61
4/1/16,69
4/2/16,69
4/3/16,51
4/4/16,32
4/5/16,31
4/6/16,31
4/7/16,44
4/8/16,50
4/9/16,35
4/10/16,38
4/11/16,41
4/12/16,53
4/13/16,47
4/14/16,50
4/15/16,58
4/16/16,64
4/17/16,70
4/18/16,75
4/19/16,73
4/20/16,58
4/21/16,67
4/22/16,75
4/23/16,64
4/24/16,55
4/25/16,58
4/26/16,62
4/27/16,53
4/28/16,57
4/29/16,57
4/30/16,55
5/1/16,58
5/2/16,48
5/3/16,54
5/4/16,53
5/5/16,58
5/6/16,58
5/7/16,58
5/8/16,64
5/9/16,55
5/10/16,59
5/11/16,66
5/12/16,75
5/13/16,80
5/14/16,70
5/15/16,66
5/16/16,49
5/17/16,60
5/18/16,59
5/19/16,65
5/20/16,65
5/21/16,74
5/22/16,67
5/23/16,67
5/24/16,78
5/25/16,78
5/26/16,84
5/27/16,84
5/28/16,87
5/29/16,90
5/30/16,88
5/31/16,82
6/1/16,79
6/2/16,83
6/3/16,77
6/4/16,81
6/5/16,82
6/6/16,72
6/7/16,78
6/8/16,72
6/9/16,57
6/10/16,64
6/11/16,68
6/12/16,83
6/13/16,64
6/14/16,61
6/15/16,73
6/16/16,81
6/17/16,79
6/18/16,81
6/19/16,84
6/20/16,87
6/21/16,87
6/22/16,78
6/23/16,75
6/24/16,79
6/25/16,82
6/26/16,85
6/27/16,86
6/28/16,79
6/29/16,84
6/30/16,75
7/1/16,79
7/2/16,79
7/3/16,75
7/4/16,78
7/5/16,83
7/6/16,86
7/7/16,89
7/8/16,86
7/9/16,87
7/10/16,85
7/11/16,69
7/12/16,81
7/13/16,90
7/14/16,89
7/15/16,88
7/16/16,87
7/17/16,81
7/18/16,83
7/19/16,81
7/20/16,75
7/21/16,85
7/22/16,89
7/23/16,92
7/24/16,89
7/25/16,91
7/26/16,81
7/27/16,82
7/28/16,87
7/29/16,85
7/30/16,85
7/31/16,70
8/1/16,76
8/2/16,79
8/3/16,82
8/4/16,80
8/5/16,83
8/6/16,82
8/7/16,80
8/8/16,80
8/9/16,82
8/10/16,84
8/11/16,85
8/12/16,88
8/13/16,89
8/14/16,90
8/15/16,81
8/16/16,78
8/17/16,85
8/18/16,79
8/19/16,80
8/20/16,83
8/21/16,84
8/22/16,74
8/23/16,70
8/24/16,78
8/25/16,82
8/26/16,82
8/27/16,83
8/28/16,83
8/29/16,85
8/30/16,80
8/31/16,80
9/1/16,74
9/2/16,74
9/3/16,74
9/4/16,77
9/5/16,79
9/6/16,83
9/7/16,83
9/8/16,88
9/9/16,91
9/10/16,81
9/11/16,86
9/12/16,72
9/13/16,75
9/14/16,83
9/15/16,75
9/16/16,72
9/17/16,76
9/18/16,77
9/19/16,77
9/20/16,77
9/21/16,84
9/22/16,80
9/23/16,84
9/24/16,80
9/25/16,65
9/26/16,66
9/27/16,69
9/28/16,72
9/29/16,72
9/30/16,60
10/1/16,56
10/2/16,65
10/3/16,67
10/4/16,68
10/5/16,65
10/6/16,70
10/7/16,74
10/8/16,75
10/9/16,65
10/10/16,58
10/11/16,58
10/12/16,67
10/13/16,69
10/14/16,58
10/15/16,58
10/16/16,65
10/17/16,75
10/18/16,70
10/19/16,80
10/20/16,68
10/21/16,68
10/22/16,56
10/23/16,43
10/24/16,54
10/25/16,48
10/26/16,46
10/27/16,42
10/28/16,43
10/29/16,42
10/30/16,66
10/31/16,54
11/1/16,45
11/2/16,56
11/3/16,70
11/4/16,58
11/5/16,50
11/6/16,56
11/7/16,49
11/8/16,59
11/9/16,63
11/10/16,49
11/11/16,56
11/12/16,50
11/13/16,45
11/14/16,60
11/15/16,60
11/16/16,53
11/17/16,55
11/18/16,50
11/19/16,65
11/20/16,68
11/21/16,35
11/22/16,30
11/23/16,33
11/24/16,37
11/25/16,37
11/26/16,48
11/27/16,41
11/28/16,41
