STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,CITY
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,5/2/2015,55,",,U",76,"H,,U",35,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,5/3/2015,58,",,U",78,"H,,U",34,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,5/4/2015,64,",,U",84,"H,,U",39,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,5/5/2015,64,",,U",76,"H,,U",52,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,5/6/2015,61,",,U",77,"H,,U",46,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,5/7/2015,63,",,U",83,"H,,U",40,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,5/8/2015,68,",,U",89,"H,,U",47,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,5/9/2015,74,",,U",86,"H,,U",61,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,5/10/2015,69,",,U",84,"H,,U",62,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,5/11/2015,71,",,U",85,"H,,U",60,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,5/12/2015,63,",,U",75,"H,,U",51,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,5/13/2015,47,",,U",55,"H,,U",34,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,5/14/2015,48,",,U",66,"H,,U",30,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,5/15/2015,56,",,U",74,"H,,U",34,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,5/16/2015,65,",,U",79,"H,,U",56,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,5/17/2015,67,",,U",82,"H,,U",54,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,5/18/2015,68,",,U",85,"H,,U",52,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,5/19/2015,65,",,U",81,"H,,U",49,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,5/20/2015,45,",,U",55,"H,,U",34,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,5/21/2015,51,",,U",61,"H,,U",35,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,5/22/2015,50,",,U",62,"H,,U",36,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,5/23/2015,48,",,U",64,"H,,U",28,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,5/24/2015,60,",,U",80,"H,,U",35,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,5/25/2015,70,",,U",86,"H,,U",51,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,5/26/2015,74,",,U",83,"H,,U",67,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,5/27/2015,73,",,U",82,"H,,U",66,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,5/28/2015,65,",,U",74,"H,,U",49,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,5/29/2015,66,",,U",83,"H,,U",47,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,5/30/2015,73,",,U",85,"H,,U",65,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,5/31/2015,57,",,U",66,"H,,U",51,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,6/1/2015,53,",,U",57,"H,,U",51,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,6/2/2015,55,",,U",64,"H,,U",44,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,6/3/2015,57,",,U",75,"H,,U",43,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,6/4/2015,60,",,U",75,"H,,U",40,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,6/5/2015,67,",,U",80,"H,,U",58,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,6/6/2015,60,",,U",71,"H,,U",41,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,6/7/2015,62,",,U",78,"H,,U",37,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,6/8/2015,65,",,U",72,"H,,U",60,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,6/9/2015,62,",,U",73,"H,,U",53,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,6/10/2015,67,",,U",81,"H,,U",51,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,6/11/2015,69,",,U",81,"H,,U",56,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,6/12/2015,70,",,U",87,"H,,U",54,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,6/13/2015,67,",,U",79,"H,,U",55,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,6/14/2015,69,",,U",85,"H,,U",56,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,6/15/2015,74,",,U",85,"H,,U",65,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,6/16/2015,71,",,U",78,"H,,U",60,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,6/17/2015,65,",,U",76,"H,,U",55,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,6/18/2015,65,",,U",69,"H,,U",56,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,6/19/2015,66,",,U",77,"H,,U",49,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,6/20/2015,63,",,U",77,"H,,U",46,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,6/21/2015,69,",,U",79,"H,,U",61,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,6/22/2015,70,",,U",82,"H,,U",55,"H,,U",NEW_YORK
